"estacion.1","estacion.2","probabilidad ergm","probabilidad latente","probabilidad promedio"
"Restrepo","Nariño",0.539432376197225,0.775443700755494,0.65743803847636
"CDS Carrera 32","Paloquemao",0.659694944084434,0.594667032492317,0.627180988288376
"Centro Memoria","Calle 26 - Atrio",0.618343185581707,0.612042244756487,0.615192715169097
"De La Sabana","Calle 22",0.528861023033064,0.694188946158137,0.6115249845956
"Fucha","Hortúa",0.442389990670657,0.777215307796959,0.609802649233808
"Rionegro","Suba Calle 100",0.595007688153553,0.620719587045623,0.607863637599588
"Alquería","Cl38A sur - CENTRO MAYOR",0.488912210049234,0.710275114561271,0.599593662305253
"Carrera 90","Granja - cra 77",0.529555271251377,0.515277962843996,0.522416617047686
"Universidades CityU","Calle 22",0.335162620487996,0.682977829281655,0.509070224884825
"Corferias","Universidad Nacional",0.47879551514437,0.537348858535433,0.508072186839902
"Escuela Militar","La Castellana",0.653264256033723,0.343891488651618,0.49857787234267
"Zona Industrial","Ricaurte",0.507256081679309,0.48821732581848,0.497736703748895
"Portal 80","Avenida Cali",0.426492851114504,0.567906019542272,0.497199435328388
"Santa Isabel","Guatoque - Veraguas",0.368723044539029,0.622934099920994,0.495828572230012
"Las Nieves","Universidades CityU",0.575842136449141,0.41450233875918,0.495172237604161
"Puentelargo","Suba - Calle 95",0.363908401834783,0.625359761726315,0.494634081780549
"Virrey - Cendiatra","La Castellana",0.437476578435451,0.549271511705391,0.493374045070421
"Terreros - H. Cardiovascular","La Despensa",0.464133986724223,0.518699328119262,0.491416657421742
"Carrera 47","Polo - FINCOMERCIO",0.463188922240857,0.518085655600207,0.490637288920532
"Calle 100 - Marketmedios","Rionegro",0.601897169513008,0.346906815903123,0.474401992708066
"San Martín","La Castellana",0.714722323098449,0.233535100219401,0.474128711658925
"CDS Carrera 32","CAD",0.46728786251582,0.474580009550743,0.470933936033281
"Zona Industrial","Distrito Grafiti",0.360532654793688,0.568223626598585,0.464378140696137
"Campin - UAN","Av. Eldorado",0.342728535735709,0.571099016614507,0.456913776175108
"Socorro","Calle 40 Sur",0.450513472457259,0.462829813094157,0.456671642775708
"Mazurén","Calle 142",0.358778792535131,0.5484652961546,0.453622044344866
"Suba - Calle 95","Escuela Militar",0.466588916540296,0.440478555265392,0.453533735902844
"Ciudad Universitaria- Lotería de Bogotá","Av. Eldorado",0.674208223919207,0.221683790126988,0.447946007023097
"Calle 100 - Marketmedios","Suba - Calle 95",0.6716735034763,0.218344198937296,0.445008851206798
"Rionegro","La Castellana",0.658676183218148,0.202238378826062,0.430457281022105
"San Martín","Polo - FINCOMERCIO",0.610788054199766,0.240589582653155,0.425688818426461
"Carrera 43 - Comapan","CDS Carrera 32",0.498263251381226,0.349201360437898,0.423732305909562
"Consuelo","Santa Lucía",0.494615782336752,0.346940711613012,0.420778246974882
"De La Sabana","Tygua-San José",0.534756568625842,0.30085280954178,0.417804689083811
"Calle 85 - Gato Dumas","La Castellana",0.42416673635997,0.409461552367616,0.416814144363793
"Gobernacion","Corferias",0.490326275629728,0.340013149654907,0.415169712642318
"Calle 85 - Gato Dumas","Polo - FINCOMERCIO",0.474419118317026,0.355732273854374,0.4150756960857
"Calle 100 - Marketmedios","Escuela Militar",0.40858768056206,0.419817393051423,0.414202536806742
"Las Aguas - Centro Colombo Americano","Universidades CityU",0.698082949828799,0.129426839500089,0.413754894664444
"Santa Lucía","Olaya",0.267478722449402,0.559697931207521,0.413588326828461
"Quinta Paredes","Ciudad Universitaria- Lotería de Bogotá",0.459172184004234,0.366270335478886,0.41272125974156
"Pepe Sierra - Utel Universidad","Calle 100 - Marketmedios",0.252754825153736,0.566634061329863,0.409694443241799
"Parque","Santa Lucía",0.314826264804407,0.502456154959212,0.40864120988181
"Escuela Militar","Avenida Chile",0.493230466064297,0.320153762012731,0.406692114038514
"Concejo de Bogotá","Av. Eldorado",0.661949266877683,0.147971750582859,0.404960508730271
"Carrera 47","La Castellana",0.540465391921899,0.266678638094555,0.403572015008227
"Polo - FINCOMERCIO","La Castellana",0.66297154551611,0.142964267702043,0.402967906609076
"Movistar Arena","Av. Eldorado",0.249994169971657,0.553878165271384,0.401936167621521
"Zona Industrial","Paloquemao",0.515900501771515,0.280774879930141,0.398337690850828
"Rionegro","Polo - FINCOMERCIO",0.512217166473657,0.283460366513215,0.397838766493436
"Sevillana","Alquería",0.250416970644504,0.544336034328881,0.397376502486693
"Museo Del Oro","Universidades CityU",0.590526917905236,0.203949616164233,0.397238267034735
