"route.id","nombre","tramos","alpha_c topologico (frecuencia)","alpha_c demanda (frecuencia)"
"13008","G11",16,13,14
"13018","L18",15,14,13
"12646","H75",20,13,13
"12558","H13",16,14,13
"12813","H15",18,14,13
"12067","H20",15,14,13
"11870","L41",7,13,13
"10073","C25",19,15,12
"13017","B18",15,13,12
"12462","K10",14,14,12
"10074","L25",19,14,12
"12030","L10",14,14,12
"12825","M83",9,13,12
"12826","H83",9,13,12
"11878","G41",7,14,12
"10067","G47",11,13,12
"11724","M51",12,14,12
"11725","F51",12,13,12
"12815","F28",12,13,12
"12612","B28",12,13,12
"12047","C19",16,14,12
"12614","A61",8,14,12
"12873","G12",15,13,12
"13125","K16",15,13,12
"13035","D55",15,13,12
"10075","B10",14,13,12
"12842","B75",20,14,12
"12874","B12",15,14,12
"12933","B74",11,13,12
"12970","B27",9,15,12
"13037","B46",8,14,12
"12881","H72",14,13,12
"12814","B13",16,14,12
"12820","K23",15,13,12
"12621","B26",11,13,12
"11907","G30",14,13,12
"11856","7",15,13,12
"11909","C17",21,13,12
"11914","C73",9,13,12
"12467","C15",18,13,12
"13163","H21",14,14,12
"12872","G22",14,13,12
"12066","D20",15,13,12
"11382","D21",14,14,12
"12871","D22",14,13,12
"11926","K43",15,13,12
"12823","E48",10,13,12
"11931","G45",5,13,12
"11879","E42",9,13,12
"11871","G42",9,13,12
"10056","2",10,13,11
"10070","2",10,13,11
"13021","L18",6,13,11
"10039","M47",11,14,11
"12639","5",16,13,11
"12622","E32",11,13,11
"11868","F32",11,13,11
"10082","F23",9,13,11
"11163","F23",11,13,11
"12841","5",17,13,11
"11712","J23",11,13,11
"12070","J23",9,13,11
"11873","F60",9,13,11
"12616","A60",10,14,11
"12048","F19",16,14,11
"12615","F61",8,14,11
"11453","J70",11,13,11
"13189","8",26,13,11
"10076","D10",14,13,11
"11463","G12",13,13,11
"12576","J74",11,13,11
"12644","H27",9,15,11
"13009","8",26,13,11
"13046","G46",8,13,11
"13115","G46",8,13,11
"13007","B11",16,14,11
"13011","B16",15,13,11
"13036","B55",15,13,11
"11876","B12",13,13,11
"11932","C50",12,13,11
"12879","B72",14,14,11
"11272","B50",12,13,11
"11875","F26",11,13,11
"12819","B23",15,13,11
"11853","4",23,13,11
"11627","7",15,13,11
"11910","H17",21,13,11
"11913","J73",9,13,11
"11908","C30",14,14,11
"13169","6",13,13,11
"12818","J24",11,13,11
"13170","6",13,13,11
"12243","D24",11,13,11
"11747","4",23,13,11
"11231","1",13,13,11
"11458","G43",15,13,11
"12811","H54",16,13,11
"13116","G43",15,13,11
"12877","K54",10,13,11
"12878","K54",16,13,11
"13171","1",13,13,11
"13162","3",16,14,11
"11885","3",16,13,11
"12821","H76",9,13,11
"12931","A52",9,13,11
"10036","G45",5,14,11
"12932","G52",9,13,11
"12824","G48",10,14,11
"11997","G43",6,13,11
"12822","J76",9,13,11
"12648","H75",9,13,11
