"route.id","nombre","tramos","alpha_c topologico","alpha_c demanda"
"11453","J70",11,3,4.8
"13011","B16",15,2.2,4.1
"12558","H13",16,2.1,3.9
"11272","B50",12,2,3.9
"12819","B23",15,1.5,3.8
"13007","B11",16,1.6,3.7
"12970","B27",9,4.8,3.7
"12879","B72",14,1.6,3.7
"10056","2",10,1.5,3.6
"12462","K10",14,1.5,3.6
"10070","2",10,1.3,3.6
"13021","L18",6,1,3.6
"12639","5",16,1.1,3.6
"12622","E32",11,1.4,3.6
"10082","F23",9,1,3.6
"11163","F23",11,1,3.6
"11712","J23",11,1,3.6
"12070","J23",9,1,3.6
"11873","F60",9,1.8,3.6
"12616","A60",10,1.8,3.6
"12612","B28",12,1.8,3.6
"12615","F61",8,1.8,3.6
"11463","G12",13,1,3.6
"12646","H75",20,1.9,3.6
"12873","G12",15,1.4,3.6
"13046","G46",8,1,3.6
"13115","G46",8,1,3.6
"13008","G11",16,1.8,3.6
"13125","K16",15,1.6,3.6
"11876","B12",13,1,3.6
"12933","B74",11,1.8,3.6
"12881","H72",14,1.6,3.6
"11932","C50",12,2,3.6
"12820","K23",15,1.4,3.6
"11853","4",23,1.5,3.6
"11907","G30",14,1.7,3.6
"11910","H17",21,1.6,3.6
"11913","J73",9,2.3,3.6
"11856","7",15,1.8,3.6
"11908","C30",14,1.6,3.6
"13169","6",13,1.5,3.6
"13163","H21",14,2.4,3.6
"12872","G22",14,1.6,3.6
"13170","6",13,1.5,3.6
"12243","D24",11,1.7,3.6
"12871","D22",14,1.7,3.6
"11231","1",13,1,3.6
"11458","G43",15,1,3.6
"12811","H54",16,2.2,3.6
"13116","G43",15,1,3.6
"12877","K54",10,1,3.6
"12878","K54",16,1,3.6
"13171","1",13,1,3.6
"13162","3",16,1.7,3.6
"11885","3",16,1.6,3.6
"12821","H76",9,1.8,3.6
"12932","G52",9,2.1,3.6
"12823","E48",10,1.5,3.6
"11997","G43",6,1,3.6
"11870","L41",7,1.7,3.6
"11931","G45",5,1.5,3.6
"11879","E42",9,2.4,3.6
"12648","H75",9,1,3.6
"10073","C25",19,1.8,3.5
"10074","L25",19,1.9,3.5
"13018","L18",15,2,3.5
"12030","L10",14,1.5,3.5
"12825","M83",9,1.6,3.5
"11878","G41",7,1.7,3.5
"10039","M47",11,1.5,3.5
"10067","G47",11,1.5,3.5
"11724","M51",12,2.7,3.5
"11868","F32",11,1.4,3.5
"12841","5",17,1.5,3.5
"12048","F19",16,2.4,3.5
"12614","A61",8,1.9,3.5
"10076","D10",14,2,3.5
"12576","J74",11,1.6,3.5
"12644","H27",9,4.1,3.5
"12814","B13",16,2,3.5
"11875","F26",11,2,3.5
"11627","7",15,1.7,3.5
"12813","H15",18,2.5,3.5
"11909","C17",21,1.8,3.5
"12067","H20",15,2.3,3.5
"12818","J24",11,1.7,3.5
"12066","D20",15,2.8,3.5
"11382","D21",14,2.5,3.5
"11747","4",23,1.4,3.5
"11926","K43",15,2.3,3.5
"12931","A52",9,2.2,3.5
"10036","G45",5,1.4,3.5
"12824","G48",10,1.5,3.5
"12822","J76",9,1.6,3.5
"12467","C15",18,2.5,3.4
"11725","F51",12,3,3.3
"12842","B75",20,2.4,3.3
"12874","B12",15,1.4,3.3
"12621","B26",11,2,3.3
"12047","C19",16,2.5,3.1
"13189","8",26,1.5,3.1
"10075","B10",14,1.8,3.1
"13037","B46",8,2.7,3.1
"13017","B18",15,2.8,3
"12826","H83",9,2,3
"12815","F28",12,1.8,3
"13009","8",26,1.7,3
"13035","D55",15,2,3
"11914","C73",9,2.1,3
"11871","G42",9,1.8,3
"13036","B55",15,2.2,2.9
