"id station","station","locality","stratum"
"10000","Portal 20  de Julio","SAN CRISTOBAL",2
"10001","Country Sur","RAFAEL URIBE URIBE",3
"10002","Av. Primero de Mayo","SAN CRISTOBAL",3
"10003","Ciudad Jardín - UAN","ANTONIO NARIÑO",3
"10004","Policarpa","SAN CRISTOBAL",3
"10005","Bicentenario","SANTA FE",2
"10006","San Victorino","CANDELARIA",3
"10007","Las Nieves","SANTA FE",3
"10008","San Diego","SANTA FE",3
"10009","Museo Nacional","SANTA FE",4
"10010","Estación San Bernardo","SANTA FE",2
"12000","Puente Aranda","PUENTE ARANDA",3
"12001","Carrera 43 - Comapan","PUENTE ARANDA",3
"12002","CDS Carrera 32","PUENTE ARANDA",3
"12004","San Facon Carrera 22","LOS MARTIRES",3
"12007","Zona Industrial","PUENTE ARANDA",3
"14001","De La Sabana","LOS MARTIRES",3
"14004","Museo Del Oro","SANTA FE",3
"14005","Las Aguas - Centro Colombo Americano","SANTA FE",3
"2000","Portal Norte - Unicervantes ","USAQUEN",3
"2001","Calle 187","USAQUEN",5
"2101","Toberín- Foundever","SUBA",3
"2102","Calle 161","USAQUEN",3
"2103","Mazurén","USAQUEN",4
"2104","Calle 146","USAQUEN",4
"2105","Calle 142","SUBA",4
"2200","Alcalá - Colegio S. Tomás Dominicos","SUBA",3
"2201","Prado","SUBA",3
"2202","Calle 127","SUBA",5
"2204","Pepe Sierra - Utel Universidad","USAQUEN",5
"2205","Calle 106","USAQUEN",5
"2300","Calle 100 - Marketmedios","BARRIOS UNIDOS",6
"2302","Virrey - Cendiatra","CHAPINERO",4
"2303","Calle 85 - Gato Dumas","CHAPINERO",4
"2304","Héroes - Colmena Seguros","CHAPINERO",5
"2502","Terminal","USAQUEN",5
"3000","Portal Suba","SUBA",3
"3001","La Campiña","SUBA",2
"3002","Suba - Tv. 91","SUBA",3
"3003","21 Ángeles","SUBA",2
"3004","Gratamira","SUBA",6
"3005","Suba - Av. Boyacá","SUBA",4
"3006","Niza - Calle 127","SUBA",5
"3007","Humedal Córdoba","SUBA",5
"3009","Av. Suba - Calle 116","SUBA",5
"3010","Puentelargo","SUBA",5
"3012","Suba - Calle 95","BARRIOS UNIDOS",3
"3013","Rionegro","BARRIOS UNIDOS",3
"3014","San Martín","BARRIOS UNIDOS",3
"4000","Portal 80","ENGATIVA",3
"4001","Quirigua","ENGATIVA",3
"4002","Carrera 90","ENGATIVA",3
"4003","Avenida Cali","ENGATIVA",3
"4004","Granja - cra 77","ENGATIVA",3
"4101","Minuto De Dios","ENGATIVA",3
"4102","Boyacá","ENGATIVA",3
"4103","Ferias","ENGATIVA",3
"4104","Avenida 68","ENGATIVA",3
"4105","Carrera 53","BARRIOS UNIDOS",3
"4106","Carrera 47","BARRIOS UNIDOS",3
"4107","Escuela Militar","BARRIOS UNIDOS",3
"4108","Polo - FINCOMERCIO","BARRIOS UNIDOS",3
"5000","Portal Américas","KENNEDY",2
"5002","Biblioteca Tintal","KENNEDY",2
"5005","Transversal 86","KENNEDY",3
"5100","Banderas","KENNEDY",3
"5101","Mandalay","KENNEDY",3
"5102","Av Américas - Av. Boyacá","KENNEDY",3
"5103","Marsella","KENNEDY",3
"5105","Pradera - Plaza Central","PUENTE ARANDA",3
"5107","Distrito Grafiti","PUENTE ARANDA",3
