"route.id","nombre","tramos","alpha_c topologico","alpha_c demanda","redundancia","pct vulnerables estrato 1","pct estaciones vulnerables","pct vulnerables estrato 3"
"11453","J70",11,3,4.8,2.90909090909091,0,0,58.3333333333333
"13011","B16",15,2.2,4.1,2.2,0,0,31.25
"12558","H13",16,2.1,3.9,1.0625,0,17.6470588235294,64.7058823529412
"11272","B50",12,2,3.9,2.58333333333333,0,15.3846153846154,53.8461538461538
"12819","B23",15,1.5,3.8,2.26666666666667,0,0,31.25
"13007","B11",16,1.6,3.7,1.3125,0,5.88235294117647,52.9411764705882
"12970","B27",9,4.8,3.7,2,0,10,50
"12879","B72",14,1.6,3.7,0.642857142857143,0,20,73.3333333333333
"10056","2",10,1.5,3.6,1.8,0,27.2727272727273,90.9090909090909
"12462","K10",14,1.5,3.6,1.71428571428571,0,20,66.6666666666667
"10070","2",10,1.3,3.6,2.2,0,27.2727272727273,90.9090909090909
"13021","L18",6,1,3.6,2.5,0,42.8571428571429,100
"12639","5",16,1.1,3.6,1.5625,0,11.7647058823529,100
"12622","E32",11,1.4,3.6,1.72727272727273,0,8.33333333333333,75
"10082","F23",9,1,3.6,1.44444444444444,0,0,100
"11163","F23",11,1,3.6,1.90909090909091,0,16.6666666666667,100
"11712","J23",11,1,3.6,2.09090909090909,0,16.6666666666667,100
"12070","J23",9,1,3.6,1.66666666666667,0,0,100
"11873","F60",9,1.8,3.6,1.11111111111111,0,10,90
"12616","A60",10,1.8,3.6,1,0,10,90
"12612","B28",12,1.8,3.6,1.25,0,15.3846153846154,69.2307692307692
"12615","F61",8,1.8,3.6,1.5,0,33.3333333333333,100
"11463","G12",13,1,3.6,2.69230769230769,0,0,57.1428571428571
"12646","H75",20,1.9,3.6,2.75,4.76190476190476,23.8095238095238,76.1904761904762
"12873","G12",15,1.4,3.6,2.53333333333333,0,12.5,62.5
"13046","G46",8,1,3.6,4.875,22.2222222222222,55.5555555555556,88.8888888888889
"13115","G46",8,1,3.6,4.875,22.2222222222222,55.5555555555556,88.8888888888889
"13008","G11",16,1.8,3.6,1.3125,0,5.88235294117647,52.9411764705882
"13125","K16",15,1.6,3.6,2.53333333333333,0,0,31.25
"11876","B12",13,1,3.6,2.46153846153846,0,0,57.1428571428571
"12933","B74",11,1.8,3.6,2.18181818181818,0,0,41.6666666666667
"12881","H72",14,1.6,3.6,0.785714285714286,0,20,73.3333333333333
"11932","C50",12,2,3.6,2.58333333333333,0,15.3846153846154,53.8461538461538
"12820","K23",15,1.4,3.6,2.6,0,0,31.25
"11853","4",23,1.5,3.6,1.39130434782609,0,8.33333333333333,75
"11907","G30",14,1.7,3.6,1.64285714285714,0,13.3333333333333,60
"11910","H17",21,1.6,3.6,2.28571428571429,4.54545454545455,22.7272727272727,77.2727272727273
"11913","J73",9,2.3,3.6,2.22222222222222,0,10,70
"11856","7",15,1.8,3.6,2,0,12.5,62.5
"11908","C30",14,1.6,3.6,1.5,0,13.3333333333333,60
"13169","6",13,1.5,3.6,1.61538461538462,0,0,100
"13163","H21",14,2.4,3.6,1.42857142857143,0,6.66666666666667,86.6666666666667
"12872","G22",14,1.6,3.6,1.14285714285714,0,6.66666666666667,86.6666666666667
"13170","6",13,1.5,3.6,1.61538461538462,0,0,100
"12243","D24",11,1.7,3.6,2.27272727272727,0,0,91.6666666666667
"12871","D22",14,1.7,3.6,1.14285714285714,0,6.66666666666667,86.6666666666667
"11231","1",13,1,3.6,2.69230769230769,0,0,28.5714285714286
"11458","G43",15,1,3.6,3.6,12.5,25,56.25
"12811","H54",16,2.2,3.6,2.6875,5.88235294117647,17.6470588235294,52.9411764705882
"13116","G43",15,1,3.6,3.6,12.5,25,56.25
"12877","K54",10,1,3.6,3.5,0,0,27.2727272727273
"12878","K54",16,1,3.6,2.9375,5.88235294117647,17.6470588235294,52.9411764705882
"13171","1",13,1,3.6,2.84615384615385,0,0,28.5714285714286
"13162","3",16,1.7,3.6,1.4375,0,23.5294117647059,82.3529411764706
"11885","3",16,1.6,3.6,1.375,0,23.5294117647059,82.3529411764706
"12821","H76",9,1.8,3.6,2.11111111111111,10,50,100
"12932","G52",9,2.1,3.6,1.22222222222222,0,20,100
"12823","E48",10,1.5,3.6,2.2,18.1818181818182,45.4545454545455,90.9090909090909
"11997","G43",6,1,3.6,5,28.5714285714286,57.1428571428571,100
"11870","L41",7,1.7,3.6,1.42857142857143,25,50,100
"11931","G45",5,1.5,3.6,3.2,33.3333333333333,100,100
"11879","E42",9,2.4,3.6,1.88888888888889,20,50,80
"12648","H75",9,1,3.6,2.77777777777778,10,50,100
"10073","C25",19,1.8,3.5,2.05263157894737,0,25,80
"10074","L25",19,1.9,3.5,2.21052631578947,0,25,80
"13018","L18",15,2,3.5,1.66666666666667,0,18.75,56.25
"12030","L10",14,1.5,3.5,1.78571428571429,0,20,66.6666666666667
"12825","M83",9,1.6,3.5,1.22222222222222,10,40,90
"11878","G41",7,1.7,3.5,1.85714285714286,25,50,100
"10039","M47",11,1.5,3.5,1.45454545454545,0,16.6666666666667,91.6666666666667
"10067","G47",11,1.5,3.5,1.45454545454545,0,16.6666666666667,91.6666666666667
"11724","M51",12,2.7,3.5,1.75,0,15.3846153846154,92.3076923076923
"11868","F32",11,1.4,3.5,1.72727272727273,0,8.33333333333333,75
"12841","5",17,1.5,3.5,1.47058823529412,0,11.7647058823529,100
"12048","F19",16,2.4,3.5,1.8125,0,11.7647058823529,82.3529411764706
"12614","A61",8,1.9,3.5,1.5,0,33.3333333333333,100
"10076","D10",14,2,3.5,2.28571428571429,0,0,73.3333333333333
"12576","J74",11,1.6,3.5,2.63636363636364,0,0,41.6666666666667
"12644","H27",9,4.1,3.5,2.22222222222222,0,10,50
"12814","B13",16,2,3.5,0.9375,0,17.6470588235294,64.7058823529412
"11875","F26",11,2,3.5,2.45454545454545,0,16.6666666666667,58.3333333333333
"11627","7",15,1.7,3.5,2,0,12.5,62.5
"12813","H15",18,2.5,3.5,1.66666666666667,0,21.0526315789474,73.6842105263158
"11909","C17",21,1.8,3.5,2.14285714285714,4.54545454545455,22.7272727272727,77.2727272727273
"12067","H20",15,2.3,3.5,0.933333333333333,0,18.75,93.75
"12818","J24",11,1.7,3.5,2.27272727272727,0,0,91.6666666666667
"12066","D20",15,2.8,3.5,0.933333333333333,0,18.75,93.75
"11382","D21",14,2.5,3.5,1.42857142857143,0,6.66666666666667,86.6666666666667
"11747","4",23,1.4,3.5,1.39130434782609,0,8.33333333333333,75
"11926","K43",15,2.3,3.5,2.2,12.5,25,56.25
"12931","A52",9,2.2,3.5,1.22222222222222,0,20,100
"10036","G45",5,1.4,3.5,5.2,33.3333333333333,100,100
"12824","G48",10,1.5,3.5,3.5,18.1818181818182,45.4545454545455,90.9090909090909
"12822","J76",9,1.6,3.5,1.55555555555556,10,50,100
"12467","C15",18,2.5,3.4,1.66666666666667,0,21.0526315789474,73.6842105263158
"11725","F51",12,3,3.3,1.75,0,15.3846153846154,92.3076923076923
"12842","B75",20,2.4,3.3,2.15,4.76190476190476,23.8095238095238,76.1904761904762
"12874","B12",15,1.4,3.3,2.33333333333333,0,12.5,62.5
"12621","B26",11,2,3.3,2.45454545454545,0,16.6666666666667,58.3333333333333
"12047","C19",16,2.5,3.1,1.8125,0,11.7647058823529,82.3529411764706
"13189","8",26,1.5,3.1,2.19230769230769,0,3.7037037037037,48.1481481481481
"10075","B10",14,1.8,3.1,1.92857142857143,0,0,73.3333333333333
"13037","B46",8,2.7,3.1,3,22.2222222222222,55.5555555555556,88.8888888888889
"13017","B18",15,2.8,3,1.26666666666667,0,18.75,56.25
"12826","H83",9,2,3,1.44444444444444,10,40,90
"12815","F28",12,1.8,3,1.25,0,15.3846153846154,69.2307692307692
"13009","8",26,1.7,3,2.46153846153846,0,3.7037037037037,48.1481481481481
"13035","D55",15,2,3,1.66666666666667,0,0,56.25
"11914","C73",9,2.1,3,2.22222222222222,0,10,70
"11871","G42",9,1.8,3,3,20,50,80
"13036","B55",15,2.2,2.9,1.66666666666667,0,0,56.25
