"route.id","alpha","aristas caidas"
"12067",0,556
"12067",0.05,551
"12067",0.1,551
"12067",0.15,549
"12067",0.2,547
"12067",0.25,565
"12067",0.3,557
"12067",0.35,554
"12067",0.4,551
"12067",0.45,548
"12067",0.5,544
"12067",0.55,542
"12067",0.6,540
"12067",0.65,535
"12067",0.7,533
"12067",0.75,526
"12067",0.8,522
"12067",0.85,520
"12067",0.9,528
"12067",0.95,523
"12067",1,429
"12067",1.05,392
"12067",1.1,390
"12067",1.15,370
"12067",1.2,365
"12067",1.25,362
"12067",1.3,323
"12067",1.35,351
"12067",1.4,302
"12067",1.45,324
"12067",1.5,358
"12067",1.55,309
"12067",1.6,68
"12067",1.65,66
"12067",1.7,63
"12067",1.75,55
"12067",1.8,38
"12067",1.85,40
"12067",1.9,47
"12067",1.95,47
"12067",2,44
"12067",2.05,42
"12067",2.1,73
"12067",2.15,72
"12067",2.2,53
"12067",2.25,4
"12067",2.3,4
"12067",2.35,4
"12067",2.4,3
"12067",2.45,3
"12067",2.5,3
"12067",2.55,3
"12067",2.6,3
"12067",2.65,3
"12067",2.7,3
"12067",2.75,3
"12067",2.8,3
"12067",2.85,3
"12067",2.9,3
"12067",2.95,3
"12067",3,3
"11878",0,532
"11878",0.05,557
"11878",0.1,559
"11878",0.15,557
"11878",0.2,557
"11878",0.25,557
"11878",0.3,555
"11878",0.35,553
"11878",0.4,552
"11878",0.45,549
"11878",0.5,548
"11878",0.55,543
"11878",0.6,541
"11878",0.65,538
"11878",0.7,537
"11878",0.75,535
"11878",0.8,533
"11878",0.85,531
"11878",0.9,528
"11878",0.95,524
"11878",1,425
"11878",1.05,385
"11878",1.1,390
"11878",1.15,412
"11878",1.2,394
"11878",1.25,363
"11878",1.3,370
"11878",1.35,373
"11878",1.4,347
"11878",1.45,29
"11878",1.5,336
"11878",1.55,31
"11878",1.6,312
"11878",1.65,30
"11878",1.7,30
"11878",1.75,24
"11878",1.8,2
"11878",1.85,2
"11878",1.9,2
"11878",1.95,1
"11878",2,1
"11878",2.05,1
"11878",2.1,1
"11878",2.15,1
"11878",2.2,1
"11878",2.25,1
"11878",2.3,1
"11878",2.35,1
"11878",2.4,1
"11878",2.45,1
"11878",2.5,1
"11878",2.55,1
"11878",2.6,1
"11878",2.65,1
"11878",2.7,1
"11878",2.75,1
"11878",2.8,1
"11878",2.85,0
"11878",2.9,0
"11878",2.95,0
"11878",3,0
"11997",0,577
"11997",0.05,574
"11997",0.1,569
"11997",0.15,566
"11997",0.2,563
"11997",0.25,562
"11997",0.3,560
"11997",0.35,557
"11997",0.4,556
"11997",0.45,554
"11997",0.5,551
"11997",0.55,547
"11997",0.6,545
"11997",0.65,543
"11997",0.7,543
"11997",0.75,542
"11997",0.8,538
"11997",0.85,536
"11997",0.9,534
